true_id,true_label,house,techno,electro,trance,drum_and_bass,footwork,dubstep,future_bass,trap_edm,phonk,midtempo,breakbeat,uk_garage,hardcore,hardstyle,moombahton,amapiano,nu_disco,synthwave,other
midtempo,Midtempo,0.09900990099009901,0.009900990099009901,0.0297029702970297,0.04950495049504951,0.0891089108910891,0.0,0.1485148514851485,0.009900990099009901,0.18811881188118812,0.0,0.26732673267326734,0.019801980198019802,0.0,0.0,0.019801980198019802,0.0297029702970297,0.0,0.0,0.039603960396039604,0.0
breakbeat,Breakbeat,0.11926605504587157,0.01834862385321101,0.009174311926605505,0.045871559633027525,0.09174311926605505,0.0,0.08256880733944955,0.0,0.01834862385321101,0.009174311926605505,0.009174311926605505,0.44954128440366975,0.045871559633027525,0.01834862385321101,0.0,0.009174311926605505,0.01834862385321101,0.01834862385321101,0.03669724770642202,0.0
uk_garage,UK Garage,0.2,0.06666666666666667,0.011111111111111112,0.0,0.044444444444444446,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.022222222222222223,0.3888888888888889,0.0,0.0,0.011111111111111112,0.06666666666666667,0.011111111111111112,0.044444444444444446,0.0
hardcore,Hardcore,0.003745318352059925,0.033707865168539325,0.011235955056179775,0.0299625468164794,0.07116104868913857,0.0,0.00749063670411985,0.003745318352059925,0.011235955056179775,0.0,0.0,0.003745318352059925,0.0,0.797752808988764,0.00749063670411985,0.0,0.0,0.003745318352059925,0.003745318352059925,0.011235955056179775
hardstyle,Hardstyle,0.03571428571428571,0.017857142857142856,0.0,0.008928571428571428,0.026785714285714284,0.0,0.017857142857142856,0.0,0.008928571428571428,0.0,0.0,0.0,0.0,0.16071428571428573,0.6875,0.0,0.0,0.0,0.0,0.03571428571428571
moombahton,Moombahton,0.05732484076433121,0.050955414012738856,0.07006369426751592,0.01910828025477707,0.025477707006369428,0.006369426751592357,0.050955414012738856,0.0,0.006369426751592357,0.012738853503184714,0.0,0.0,0.006369426751592357,0.0,0.0,0.6624203821656051,0.03184713375796178,0.0,0.0,0.0
amapiano,Amapiano,0.08641975308641975,0.012345679012345678,0.037037037037037035,0.012345679012345678,0.012345679012345678,0.0,0.08641975308641975,0.0,0.024691358024691357,0.0,0.0,0.0,0.012345679012345678,0.0,0.0,0.037037037037037035,0.6666666666666666,0.012345679012345678,0.0,0.0
nu_disco,Nu-Disco,0.23333333333333334,0.0,0.025,0.041666666666666664,0.0,0.0,0.016666666666666666,0.0,0.016666666666666666,0.0,0.0,0.008333333333333333,0.0,0.0,0.0,0.008333333333333333,0.0,0.5666666666666667,0.06666666666666667,0.016666666666666666
synthwave,Synthwave,0.07936507936507936,0.06349206349206349,0.0,0.06349206349206349,0.023809523809523808,0.0,0.05555555555555555,0.007936507936507936,0.047619047619047616,0.015873015873015872,0.031746031746031744,0.023809523809523808,0.0,0.0,0.0,0.0,0.0,0.031746031746031744,0.5555555555555556,0.0
other,Other,0.19254658385093168,0.08074534161490683,0.08695652173913043,0.031055900621118012,0.06832298136645963,0.006211180124223602,0.13664596273291926,0.012422360248447204,0.062111801242236024,0.012422360248447204,0.0,0.06832298136645963,0.043478260869565216,0.06832298136645963,0.043478260869565216,0.037267080745341616,0.018633540372670808,0.018633540372670808,0.012422360248447204,0.0
